borough,precinct,crashes,injuries,fatalities
Manhattan,1,7,6,0
Manhattan,5,6,4,0
Manhattan,6,2,0,0
Manhattan,7,12,11,0
Manhattan,9,15,12,0
Manhattan,10,7,5,0
Manhattan,13,6,5,0
Manhattan,14,1,1,0
Manhattan,17,3,3,0
Manhattan,18,9,4,0
Manhattan,19,12,6,0
Manhattan,20,9,6,0
Manhattan,22,114,99,0
Manhattan,23,6,3,0
Manhattan,24,6,6,0
Manhattan,25,2,2,0
Manhattan,26,2,1,0
Manhattan,28,2,2,0
Manhattan,30,5,3,0
Manhattan,32,2,1,0
Manhattan,33,4,3,0
Manhattan,34,1,1,0
Bronx,40,4,3,0
Bronx,41,1,1,0
Bronx,42,1,1,0
Bronx,43,2,2,0
Bronx,44,0,0,0
Bronx,45,3,3,0
Bronx,46,2,2,0
Bronx,47,0,0,0
Bronx,48,0,0,0
Bronx,49,2,2,0
Bronx,50,2,2,0
Bronx,52,6,6,0
Brooklyn,60,3,3,0
Brooklyn,61,1,1,0
Brooklyn,62,3,3,0
Brooklyn,63,4,4,0
Brooklyn,66,4,3,0
Brooklyn,67,0,0,0
Brooklyn,68,1,1,0
Brooklyn,69,1,1,0
Brooklyn,70,4,4,0
Brooklyn,71,3,3,0
Brooklyn,72,9,9,0
Brooklyn,73,1,1,0
Brooklyn,75,2,2,0
Brooklyn,76,2,2,0
Brooklyn,77,4,3,0
Brooklyn,78,21,20,0
Brooklyn,79,4,4,0
Brooklyn,81,0,0,0
Brooklyn,83,2,1,0
Brooklyn,84,7,7,0
Brooklyn,88,9,9,0
Brooklyn,90,18,16,0
Brooklyn,94,6,5,1
Queens,100,0,0,0
Queens,101,2,2,0
Queens,102,2,2,0
Queens,103,0,0,0
Queens,104,1,0,0
Queens,105,0,0,0
Queens,106,3,2,0
Queens,107,0,0,0
Queens,108,8,8,0
Queens,109,3,2,0
Queens,110,3,2,0
Queens,111,2,2,0
Queens,112,1,1,0
Queens,113,1,0,0
Queens,114,3,2,0
Queens,115,6,6,0
StatenIsland,120,1,1,0
StatenIsland,121,0,0,0
StatenIsland,122,0,0,0
StatenIsland,123,3,3,0
