borough,precinct,crashes,injuries,fatalities
Manhattan,1,2,2,0
Manhattan,5,5,5,0
Manhattan,6,4,4,0
Manhattan,7,6,5,0
Manhattan,9,4,4,0
Manhattan,10,1,1,0
Manhattan,13,5,5,0
Manhattan,14,0,0,0
Manhattan,17,5,4,0
Manhattan,18,4,3,0
Manhattan,19,5,4,0
Manhattan,20,2,2,0
Manhattan,22,53,45,1
Manhattan,23,2,2,0
Manhattan,24,1,1,0
Manhattan,25,3,3,0
Manhattan,26,1,1,0
Manhattan,28,1,1,0
Manhattan,30,2,2,0
Manhattan,32,0,0,0
Manhattan,33,1,1,0
Manhattan,34,1,1,0
Bronx,40,1,1,0
Bronx,41,0,0,0
Bronx,42,1,1,0
Bronx,43,1,1,0
Bronx,44,0,0,0
Bronx,45,2,2,0
Bronx,46,1,1,0
Bronx,47,0,0,0
Bronx,48,0,0,0
Bronx,49,1,1,0
Bronx,50,2,2,0
Bronx,52,0,0,0
Brooklyn,60,0,0,0
Brooklyn,61,2,2,0
Brooklyn,62,1,1,0
Brooklyn,63,0,0,0
Brooklyn,66,4,4,0
Brooklyn,67,1,1,0
Brooklyn,68,3,3,0
Brooklyn,69,0,0,0
Brooklyn,70,0,0,0
Brooklyn,71,0,0,0
Brooklyn,72,14,12,0
Brooklyn,73,0,0,0
Brooklyn,75,0,0,0
Brooklyn,76,1,0,0
Brooklyn,77,4,4,0
Brooklyn,78,11,9,0
Brooklyn,79,4,3,0
Brooklyn,81,2,2,0
Brooklyn,83,4,4,0
Brooklyn,84,8,7,0
Brooklyn,88,3,3,0
Brooklyn,90,14,13,0
Brooklyn,94,7,6,0
Queens,100,1,1,0
Queens,101,2,2,0
Queens,102,4,4,0
Queens,103,0,0,0
Queens,104,1,0,0
Queens,105,0,0,0
Queens,106,1,1,0
Queens,107,0,0,0
Queens,108,7,6,0
Queens,109,3,3,0
Queens,110,4,4,0
Queens,111,1,1,0
Queens,112,2,2,0
Queens,113,0,0,0
Queens,114,7,7,0
Queens,115,8,7,0
StatenIsland,120,0,0,0
StatenIsland,121,1,1,0
StatenIsland,122,2,2,0
StatenIsland,123,1,1,0
