borough,precinct,crashes,injuries,fatalities
Manhattan,1,3,3,0
Manhattan,5,8,7,0
Manhattan,6,3,3,0
Manhattan,7,5,5,0
Manhattan,9,2,1,0
Manhattan,10,1,0,0
Manhattan,13,5,4,0
Manhattan,14,1,1,0
Manhattan,17,7,6,0
Manhattan,18,4,3,0
Manhattan,19,15,12,0
Manhattan,20,5,5,0
Manhattan,22,94,88,0
Manhattan,23,1,0,0
Manhattan,24,2,2,0
Manhattan,25,3,3,0
Manhattan,26,2,1,0
Manhattan,28,1,1,0
Manhattan,30,3,3,0
Manhattan,32,1,1,0
Manhattan,33,1,0,0
Manhattan,34,1,1,0
Bronx,40,1,1,0
Bronx,41,1,1,0
Bronx,42,1,1,0
Bronx,43,5,2,0
Bronx,44,2,2,0
Bronx,45,1,0,0
Bronx,46,0,0,0
Bronx,47,0,0,0
Bronx,48,1,1,0
Bronx,49,2,2,0
Bronx,50,0,0,0
Bronx,52,1,1,0
Brooklyn,60,2,2,0
Brooklyn,61,2,2,0
Brooklyn,62,1,1,0
Brooklyn,63,5,5,0
Brooklyn,66,0,0,0
Brooklyn,67,0,0,0
Brooklyn,68,1,1,0
Brooklyn,69,0,0,0
Brooklyn,70,1,1,0
Brooklyn,71,0,0,0
Brooklyn,72,3,3,0
Brooklyn,73,2,2,0
Brooklyn,75,1,1,0
Brooklyn,76,0,0,0
Brooklyn,77,3,1,0
Brooklyn,78,25,23,0
Brooklyn,79,3,3,0
Brooklyn,81,3,3,0
Brooklyn,83,1,1,0
Brooklyn,84,6,6,0
Brooklyn,88,5,5,0
Brooklyn,90,5,5,0
Brooklyn,94,7,7,0
Queens,100,1,1,0
Queens,101,0,0,0
Queens,102,4,4,0
Queens,103,1,1,0
Queens,104,0,0,0
Queens,105,0,0,0
Queens,106,1,1,0
Queens,107,0,0,0
Queens,108,5,5,0
Queens,109,1,1,0
Queens,110,5,5,0
Queens,111,2,2,0
Queens,112,1,0,0
Queens,113,1,1,0
Queens,114,5,5,0
Queens,115,3,3,0
StatenIsland,120,2,2,0
StatenIsland,121,1,1,0
StatenIsland,122,0,0,0
StatenIsland,123,0,0,0
