borough,precinct,crashes,injuries,fatalities
Manhattan,1,3,3,0
Manhattan,5,4,4,0
Manhattan,6,1,1,0
Manhattan,7,1,1,0
Manhattan,9,4,3,0
Manhattan,10,3,3,0
Manhattan,13,2,2,0
Manhattan,14,1,1,0
Manhattan,17,5,5,0
Manhattan,18,7,6,0
Manhattan,19,7,6,0
Manhattan,20,5,5,0
Manhattan,22,90,84,0
Manhattan,23,3,2,0
Manhattan,24,0,0,0
Manhattan,25,2,2,0
Manhattan,26,0,0,0
Manhattan,28,1,1,0
Manhattan,30,0,0,0
Manhattan,32,1,1,0
Manhattan,33,2,2,0
Manhattan,34,1,1,0
Bronx,40,2,2,0
Bronx,41,0,0,0
Bronx,42,0,0,0
Bronx,43,3,3,0
Bronx,44,0,0,0
Bronx,45,0,0,0
Bronx,46,0,0,0
Bronx,47,3,2,0
Bronx,48,1,2,0
Bronx,49,0,0,0
Bronx,50,0,0,0
Bronx,52,1,1,0
Brooklyn,60,0,0,0
Brooklyn,61,1,1,0
Brooklyn,62,0,0,0
Brooklyn,63,2,2,0
Brooklyn,66,1,1,0
Brooklyn,67,0,0,0
Brooklyn,68,0,0,0
Brooklyn,69,0,0,0
Brooklyn,70,1,1,0
Brooklyn,71,2,1,0
Brooklyn,72,1,1,0
Brooklyn,73,1,1,0
Brooklyn,75,4,4,0
Brooklyn,76,1,1,0
Brooklyn,77,2,1,0
Brooklyn,78,8,8,0
Brooklyn,79,2,0,0
Brooklyn,81,1,1,0
Brooklyn,83,3,3,0
Brooklyn,84,5,4,0
Brooklyn,88,2,2,0
Brooklyn,90,13,12,0
Brooklyn,94,3,3,0
Queens,100,2,2,0
Queens,101,1,3,0
Queens,102,3,3,0
Queens,103,1,1,0
Queens,104,2,2,0
Queens,105,0,0,0
Queens,106,1,1,0
Queens,107,0,0,0
Queens,108,7,7,0
Queens,109,0,0,0
Queens,110,2,1,0
Queens,111,2,2,0
Queens,112,4,3,0
Queens,113,0,0,0
Queens,114,3,3,0
Queens,115,4,3,0
StatenIsland,120,2,2,0
StatenIsland,121,2,2,0
StatenIsland,122,3,3,0
StatenIsland,123,0,0,0
