borough,precinct,crashes,injuries,fatalities
Manhattan,1,0,0,0
Manhattan,5,0,0,0
Manhattan,6,2,2,0
Manhattan,7,0,0,0
Manhattan,9,1,1,0
Manhattan,10,1,1,0
Manhattan,13,1,2,0
Manhattan,14,0,0,0
Manhattan,17,0,0,0
Manhattan,18,0,0,0
Manhattan,19,2,1,0
Manhattan,20,3,4,0
Manhattan,22,31,56,0
Manhattan,23,0,0,0
Manhattan,24,0,0,0
Manhattan,25,1,2,0
Manhattan,26,0,0,0
Manhattan,28,0,0,0
Manhattan,30,0,0,0
Manhattan,32,0,0,0
Manhattan,33,0,0,0
Manhattan,34,0,0,0
Bronx,40,0,0,0
Bronx,41,0,0,0
Bronx,42,0,0,0
Bronx,43,0,0,0
Bronx,44,0,0,0
Bronx,45,0,0,0
Bronx,46,0,0,0
Bronx,47,0,0,0
Bronx,48,0,0,0
Bronx,49,0,0,0
Bronx,50,0,0,0
Bronx,52,0,0,0
Brooklyn,60,0,0,0
Brooklyn,61,0,0,0
Brooklyn,62,0,0,0
Brooklyn,63,0,0,0
Brooklyn,66,1,1,0
Brooklyn,67,0,0,0
Brooklyn,68,0,0,0
Brooklyn,69,0,0,0
Brooklyn,70,1,2,0
Brooklyn,71,0,0,0
Brooklyn,72,1,1,0
Brooklyn,73,2,3,0
Brooklyn,75,0,0,0
Brooklyn,76,0,0,0
Brooklyn,77,0,0,0
Brooklyn,78,5,10,0
Brooklyn,79,2,1,0
Brooklyn,81,0,0,0
Brooklyn,83,1,1,0
Brooklyn,84,3,3,0
Brooklyn,88,0,0,0
Brooklyn,90,2,4,0
Brooklyn,94,0,0,0
Queens,100,0,0,0
Queens,101,0,0,0
Queens,102,0,0,0
Queens,103,0,0,0
Queens,104,0,0,0
Queens,105,0,0,0
Queens,106,0,0,0
Queens,107,0,0,0
Queens,108,0,0,0
Queens,109,0,0,0
Queens,110,1,1,0
Queens,111,0,0,0
Queens,112,0,0,0
Queens,113,0,0,0
Queens,114,1,1,0
Queens,115,1,2,0
StatenIsland,120,0,0,0
StatenIsland,121,0,0,0
StatenIsland,122,0,0,0
StatenIsland,123,0,0,0
